Date,Brand,Product,Manufacturing Unit,Production Volume (Units),Production Cost (INR),Raw Material Cost (INR),Labor Cost (INR),Machine Efficiency (%),Production Time (Hours),Defect Rate (%),Inventory Stock (Units),Inventory Turnover Ratio,Demand Forecast (Units),Supply Chain Cost (INR),On-Time Delivery (%),Customer Satisfaction (%),Quality Rating,Energy Consumption (kWh)
2022-01-01,PepsiCo,Biscuits,Unit_8,4368,11.49,7.96,1.71,93.39,5.04,1.84,9486,5.6,4157,1940.53,83.66,88.37,Low,267.78
2022-01-01,Nestle,Juices,Unit_1,4885,10.42,7.44,3.97,84.55,11.81,2.38,17188,1.29,2599,4815.28,83.57,82.08,Low,253.71
2022-01-01,Haldiram's,Dairy,Unit_4,3834,9.73,2.52,4.67,92.89,11.52,3.21,11762,9.46,3539,1947.05,85.25,74.3,Medium,324.18
2022-01-01,PepsiCo,Biscuits,Unit_4,4420,12.37,7.09,1.83,97.06,15.07,3.19,16569,7.61,3120,2128.25,93.84,71.54,High,492.96
2022-01-01,Parle,Biscuits,Unit_5,2368,7.49,4.39,4.63,81.46,10.84,0.88,4954,8.79,1100,2530.92,81.4,63.81,Medium,216.8
2022-01-01,Haldiram's,Juices,Unit_20,1938,11.61,3.42,3.53,71.63,12.69,2.48,1057,6.02,2269,1223.9,86.4,63.19,Low,434.39
2022-01-01,Haldiram's,Juices,Unit_9,1852,19.13,5.08,1.78,77.6,18.63,1.3,5246,1.59,3240,2252.0,90.5,78.0,High,481.01
2022-01-01,PepsiCo,Beverages,Unit_13,544,5.41,3.64,3.95,71.53,7.52,4.57,19904,4.95,1941,3409.5,95.93,71.7,Low,159.56
2022-01-01,Britannia,Juices,Unit_18,2880,7.47,8.6,1.36,74.47,6.58,2.48,19075,4.31,4831,1666.5,86.67,83.16,Medium,324.03
2022-01-01,Parle,Beverages,Unit_17,699,16.67,7.94,3.77,95.47,16.2,3.83,4514,5.64,4898,3303.14,89.96,88.35,Low,195.42
2022-01-01,PepsiCo,Chocolates,Unit_1,4924,6.98,9.85,4.45,98.24,16.14,0.22,17059,2.89,3261,1601.3,92.58,86.18,Medium,439.42
2022-01-01,Parle,Juices,Unit_15,2787,9.07,6.27,4.8,90.31,18.79,1.91,17847,5.06,997,4040.1,85.13,95.33,High,383.94
2022-01-01,Parle,Dairy,Unit_2,3130,11.82,2.71,1.22,91.95,19.75,0.79,8273,1.26,1394,4718.56,98.6,89.39,Medium,399.02
2022-01-01,Haldiram's,Biscuits,Unit_16,3268,19.15,4.94,1.25,91.94,10.77,1.96,7582,2.34,4793,2499.89,87.24,75.77,Low,384.87
2022-01-01,Nestle,Dairy,Unit_20,2907,7.75,8.71,4.72,73.7,10.66,3.98,15002,8.84,1761,4835.87,94.95,74.43,High,470.02
2022-01-01,Parle,Snacks,Unit_5,4291,18.85,5.17,4.16,71.41,18.57,4.63,7218,4.4,2520,3489.72,93.34,62.42,Medium,361.35
2022-01-01,Coca-Cola,Juices,Unit_19,3793,15.78,5.65,4.1,90.95,17.91,4.58,17763,4.86,2143,3702.37,92.83,82.06,High,453.1
2022-01-01,Haldiram's,Biscuits,Unit_5,3346,15.07,5.3,3.97,71.12,10.63,0.59,5037,4.22,749,2801.04,88.17,87.14,Medium,344.82
2022-01-01,Britannia,Dairy,Unit_2,3811,15.85,3.88,3.87,94.35,6.14,1.51,12284,6.59,4272,1523.56,97.31,72.73,Low,217.35
2022-01-01,Nestle,Juices,Unit_7,3051,5.47,2.59,3.45,87.73,13.72,3.3,4239,1.04,1436,4728.77,95.68,93.86,High,179.66
2022-01-01,Coca-Cola,Juices,Unit_3,1937,6.48,3.44,4.25,73.41,9.03,1.02,9168,9.54,1909,4864.27,91.28,74.46,High,230.75
2022-01-01,Coca-Cola,Chocolates,Unit_17,626,10.02,4.91,1.14,89.78,18.63,0.26,4387,5.99,646,4288.91,86.26,74.29,Low,357.85
2022-01-01,Britannia,Chocolates,Unit_3,2120,6.11,3.96,3.96,88.19,17.09,4.77,11847,4.43,1630,2585.8,91.18,72.69,Medium,175.09
2022-01-01,Nestle,Biscuits,Unit_13,3819,19.81,6.58,3.33,81.29,18.51,1.65,8243,8.77,1632,1270.48,81.74,63.77,Medium,484.21
2022-01-02,Haldiram's,Snacks,Unit_7,981,13.71,6.91,4.63,94.53,6.21,2.1,9869,5.47,900,903.63,90.84,99.74,Medium,455.79
2022-01-02,Amul,Chocolates,Unit_3,4878,12.31,6.56,4.75,79.14,17.97,1.36,5321,1.84,2169,2770.48,93.99,79.34,High,378.0
2022-01-02,Nestle,Chocolates,Unit_15,2621,16.78,2.68,1.97,81.34,13.9,1.63,15945,9.22,3241,1873.51,98.42,97.59,Low,491.43
2022-01-02,Britannia,Snacks,Unit_18,3635,19.65,7.33,4.16,90.9,8.23,4.82,9703,4.48,1315,4355.63,94.36,82.99,Low,162.58
2022-01-02,Coca-Cola,Dairy,Unit_10,3320,19.33,5.08,4.83,92.56,9.52,0.96,17659,6.15,927,2947.0,84.69,94.74,Low,338.31
2022-01-02,Haldiram's,Chocolates,Unit_7,2871,16.9,9.03,2.07,78.21,11.85,2.47,13473,9.5,2606,4643.18,81.03,84.09,Medium,263.04
2022-01-02,Nestle,Beverages,Unit_9,738,10.66,6.2,4.4,70.5,14.41,3.19,12371,3.66,1358,3763.88,85.71,85.92,Low,363.86
2022-01-02,Amul,Ice Cream,Unit_5,1920,5.99,2.68,3.35,75.29,8.49,1.12,7674,2.6,2057,2534.98,87.94,98.03,High,456.27
2022-01-02,Amul,Ice Cream,Unit_20,840,6.48,2.07,2.58,77.9,8.11,3.58,12697,8.79,710,3843.94,80.28,90.48,Medium,294.65
2022-01-02,Parle,Chocolates,Unit_8,3850,5.02,7.62,4.29,97.15,18.38,3.41,13931,5.7,1543,4856.39,98.92,67.13,High,151.88
2022-01-02,Parle,Dairy,Unit_14,3493,5.03,5.2,4.48,96.81,17.68,4.77,18102,7.26,672,3032.97,91.71,86.32,High,165.69
2022-01-02,PepsiCo,Juices,Unit_4,1986,19.05,4.3,2.13,89.82,16.5,2.3,19159,2.0,1108,1913.44,98.9,73.57,Medium,343.99
2022-01-02,Britannia,Dairy,Unit_20,4575,18.91,5.58,4.18,91.28,16.41,1.92,7576,7.27,4315,2173.13,86.95,76.26,High,169.84
2022-01-02,Nestle,Biscuits,Unit_14,1232,15.01,2.58,1.2,88.64,16.49,1.81,18640,6.17,604,3291.57,94.35,94.75,Low,199.23
2022-01-02,Nestle,Beverages,Unit_12,3978,15.9,5.14,2.67,93.38,18.86,1.82,15925,3.95,4095,4873.03,92.84,94.13,Medium,350.23
2022-01-02,PepsiCo,Dairy,Unit_2,661,12.7,4.52,1.28,80.54,17.66,0.19,14422,8.65,1605,2624.29,84.89,74.13,Low,112.98
2022-01-02,Coca-Cola,Snacks,Unit_13,2995,8.57,8.4,2.18,86.4,10.83,1.18,16063,5.15,2182,3690.3,85.47,96.3,Low,435.72
2022-01-02,Coca-Cola,Beverages,Unit_1,631,18.72,3.4,4.8,90.12,12.07,0.6,9684,4.68,3625,1306.29,88.08,78.95,Medium,472.0
2022-01-02,PepsiCo,Ice Cream,Unit_20,2357,9.17,8.05,3.94,84.05,14.07,4.4,8042,2.65,4920,3291.99,83.89,71.41,Medium,341.78
2022-01-02,Coca-Cola,Beverages,Unit_7,1742,16.1,6.0,4.02,93.18,12.13,0.28,3248,3.29,2568,3802.49,86.59,61.75,High,393.94
2022-01-02,Parle,Snacks,Unit_9,3988,8.68,2.66,1.54,97.98,9.45,1.83,8649,3.46,1505,2405.03,91.42,72.39,Medium,234.59
2022-01-02,Nestle,Chocolates,Unit_17,1171,18.05,9.76,3.31,89.91,17.92,1.1,6682,4.65,3247,3363.54,84.88,90.66,High,378.95
2022-01-02,PepsiCo,Snacks,Unit_13,1004,14.77,7.87,2.56,72.24,17.05,3.23,15775,5.51,1613,1521.76,85.74,79.22,High,212.98
2022-01-02,Nestle,Snacks,Unit_10,2656,14.64,4.08,3.94,88.31,10.85,1.63,5093,9.91,3542,2567.36,97.92,68.61,High,180.29
2022-01-03,Amul,Chocolates,Unit_16,1761,6.46,6.65,1.63,90.89,6.72,0.08,13601,5.91,778,4215.1,89.44,79.08,Low,477.9
2022-01-03,Parle,Chocolates,Unit_6,792,11.29,9.2,2.13,78.5,5.07,4.47,14264,5.2,612,1398.41,94.17,96.36,High,446.57
2022-01-03,Haldiram's,Chocolates,Unit_16,4150,12.87,9.45,4.59,79.65,6.39,3.18,5936,6.76,2163,900.83,85.39,71.71,Low,359.01
2022-01-03,Parle,Chocolates,Unit_11,4782,9.41,7.85,1.68,87.86,7.32,0.01,19051,7.8,2156,3633.91,91.92,87.49,Medium,198.35
2022-01-03,PepsiCo,Chocolates,Unit_20,1559,18.21,7.82,3.53,91.21,14.87,3.4,5234,9.81,3869,1910.88,93.67,65.31,Low,401.61
2022-01-03,Haldiram's,Snacks,Unit_3,2803,17.57,4.22,2.26,96.14,8.29,1.08,10694,9.98,2248,2696.45,86.07,94.93,Medium,469.38
2022-01-03,Amul,Biscuits,Unit_9,3295,12.4,9.92,1.33,92.88,14.52,4.82,18172,8.75,4717,4513.23,88.75,80.35,Low,323.72
2022-01-03,PepsiCo,Biscuits,Unit_15,1701,10.1,3.95,1.89,74.02,9.92,2.22,7190,1.38,2723,1278.58,96.86,71.4,High,471.42
2022-01-03,Britannia,Dairy,Unit_13,3813,17.02,2.72,4.48,80.44,18.43,1.12,2411,1.38,2688,3978.6,94.08,94.1,Medium,351.83
2022-01-03,Nestle,Biscuits,Unit_10,2588,7.95,9.82,4.64,74.46,12.04,0.15,12683,3.91,3855,2780.11,97.88,65.68,High,469.72
2022-01-03,Amul,Ice Cream,Unit_20,3928,6.07,3.22,2.68,92.71,15.09,0.29,9758,8.81,3281,709.76,83.7,74.11,High,279.69
2022-01-03,Nestle,Biscuits,Unit_13,2660,5.69,6.17,3.48,77.99,11.91,0.28,7616,7.85,2456,1307.7,93.46,66.76,Low,317.75
2022-01-03,Coca-Cola,Snacks,Unit_17,1218,5.58,5.75,3.08,73.71,18.69,0.16,6678,6.66,1238,2729.86,80.31,94.86,Medium,494.6
2022-01-03,Britannia,Chocolates,Unit_7,2346,12.33,8.79,2.12,72.89,15.31,2.74,13067,2.74,1832,1510.72,84.82,77.52,High,348.9
2022-01-03,Britannia,Chocolates,Unit_6,1377,8.83,5.17,2.38,73.43,14.63,4.23,13029,9.74,729,2099.43,81.17,71.75,Low,299.57
2022-01-03,Amul,Juices,Unit_13,3767,15.36,6.02,3.11,77.41,13.88,1.73,13277,9.09,1088,3619.64,95.14,94.24,High,112.63
2022-01-03,Britannia,Juices,Unit_17,4997,14.81,2.35,3.78,93.47,19.83,1.74,7061,9.22,835,4313.99,90.11,96.15,High,270.5
2022-01-03,Haldiram's,Juices,Unit_15,563,13.13,3.66,2.4,77.13,15.27,0.52,7164,5.57,3880,2483.53,90.08,63.88,Medium,110.85
2022-01-03,Britannia,Snacks,Unit_4,3199,10.29,8.66,3.8,78.44,16.31,0.01,13811,4.31,902,2791.11,88.13,84.08,Medium,143.88
2022-01-03,Nestle,Ice Cream,Unit_15,3433,17.76,5.83,4.84,96.42,6.23,4.76,2205,6.73,4547,3157.07,81.14,82.2,Medium,219.54
2022-01-03,Nestle,Biscuits,Unit_14,872,15.65,3.85,1.1,83.27,17.21,2.29,3744,6.91,3902,1264.03,95.24,93.35,Medium,170.52
2022-01-03,PepsiCo,Snacks,Unit_11,4527,9.07,4.95,1.66,85.26,13.95,3.69,19050,9.35,2846,3188.64,94.34,80.19,Medium,263.81
2022-01-03,Nestle,Dairy,Unit_4,805,12.53,4.28,4.67,70.08,10.05,4.34,13069,6.14,2822,4141.0,94.32,63.69,High,359.71
2022-01-03,PepsiCo,Chocolates,Unit_3,3014,7.34,6.45,1.29,72.46,13.73,0.56,11358,8.91,2699,4527.8,99.88,98.9,High,219.89
2022-01-04,Nestle,Juices,Unit_2,1431,9.93,2.41,4.06,92.22,14.38,1.31,19301,3.84,3706,1359.9,96.77,81.9,High,296.56
2022-01-04,Haldiram's,Beverages,Unit_20,2490,19.96,3.8,3.5,80.0,8.9,2.51,11850,1.38,1627,4354.68,85.34,85.44,High,443.82
2022-01-04,PepsiCo,Dairy,Unit_10,4156,8.36,4.84,1.19,74.49,11.56,1.49,18303,4.93,3739,4440.07,82.91,62.08,High,451.42
2022-01-04,Parle,Juices,Unit_13,1915,15.47,9.43,1.0,82.86,15.82,0.27,11776,2.8,834,3933.03,88.99,92.04,Low,372.58
